time,tcc_auto,tcc_empi
2026-04-07 00:00:04,12.5,0.0
2026-04-07 00:00:19,12.5,0.0
2026-04-07 00:00:34,12.5,0.0
2026-04-07 00:00:49,12.5,0.0
2026-04-07 00:01:04,12.5,0.0
2026-04-07 00:01:19,12.5,0.0
2026-04-07 00:01:34,12.5,0.0
2026-04-07 00:01:49,12.5,0.0
2026-04-07 00:02:04,12.5,0.0
2026-04-07 00:02:19,12.5,0.0
2026-04-07 00:02:34,12.5,0.0
2026-04-07 00:02:49,12.5,0.0
2026-04-07 00:03:04,12.5,0.0
2026-04-07 00:03:19,12.5,0.0
2026-04-07 00:03:34,12.5,0.0
2026-04-07 00:03:49,12.5,0.0
2026-04-07 00:04:04,12.5,0.0
2026-04-07 00:04:19,12.5,0.0
2026-04-07 00:04:34,12.5,0.0
2026-04-07 00:04:49,12.5,0.0
2026-04-07 00:05:04,12.5,0.0
2026-04-07 00:05:19,12.5,0.0
2026-04-07 00:05:34,12.5,0.0
2026-04-07 00:05:49,12.5,0.0
2026-04-07 00:06:04,12.5,0.0
2026-04-07 00:06:19,12.5,0.0
2026-04-07 00:06:34,12.5,0.0
2026-04-07 00:06:49,12.5,0.0
2026-04-07 00:07:04,12.5,0.0
2026-04-07 00:07:19,12.5,0.0
2026-04-07 00:07:34,12.5,0.0
2026-04-07 00:07:49,12.5,0.0
2026-04-07 00:08:04,12.5,0.0
2026-04-07 00:08:19,12.5,0.0
2026-04-07 00:08:34,12.5,0.0
2026-04-07 00:08:49,12.5,0.0
2026-04-07 00:09:04,12.5,0.0
2026-04-07 00:09:19,12.5,0.0
2026-04-07 00:09:34,12.5,0.0
2026-04-07 00:09:49,12.5,0.0
2026-04-07 00:10:04,12.5,0.0
2026-04-07 00:10:19,12.5,0.0
2026-04-07 00:10:34,12.5,0.0
2026-04-07 00:10:49,12.5,0.0
2026-04-07 00:11:04,12.5,0.0
2026-04-07 00:11:19,12.5,0.0
2026-04-07 00:11:34,12.5,0.0
2026-04-07 00:11:49,12.5,0.0
2026-04-07 00:12:04,12.5,0.0
2026-04-07 00:12:19,12.5,0.0
2026-04-07 00:12:34,12.5,0.0
2026-04-07 00:12:49,12.5,0.0
2026-04-07 00:13:04,12.5,0.0
2026-04-07 00:13:19,12.5,0.0
2026-04-07 00:13:34,12.5,0.0
2026-04-07 00:13:49,12.5,0.0
2026-04-07 00:14:04,12.5,0.0
2026-04-07 00:14:19,12.5,0.0
2026-04-07 00:14:34,12.5,0.0
2026-04-07 00:14:49,12.5,0.0
2026-04-07 00:15:04,12.5,0.0
2026-04-07 00:15:19,12.5,0.0
2026-04-07 00:15:34,12.5,0.0
2026-04-07 00:15:49,12.5,0.0
2026-04-07 00:16:04,12.5,0.0
2026-04-07 00:16:19,12.5,0.0
2026-04-07 00:16:34,12.5,0.0
2026-04-07 00:16:49,12.5,0.0
2026-04-07 00:17:04,12.5,0.0
2026-04-07 00:17:19,12.5,0.0
2026-04-07 00:17:34,12.5,0.0
2026-04-07 00:17:49,12.5,0.0
2026-04-07 00:18:04,12.5,0.0
2026-04-07 00:18:19,12.5,0.0
2026-04-07 00:18:34,12.5,0.0
2026-04-07 00:18:49,12.5,0.0
2026-04-07 00:19:04,12.5,0.0
2026-04-07 00:19:19,12.5,0.0
2026-04-07 00:19:34,12.5,0.0
2026-04-07 00:19:49,12.5,0.0
2026-04-07 00:20:04,12.5,0.0
2026-04-07 00:20:19,12.5,0.0
2026-04-07 00:20:34,12.5,0.0
2026-04-07 00:20:49,12.5,0.0
2026-04-07 00:21:04,12.5,0.0
2026-04-07 00:21:19,12.5,0.0
2026-04-07 00:21:34,12.5,0.0
2026-04-07 00:21:49,12.5,0.0
2026-04-07 00:22:04,12.5,0.0
2026-04-07 00:22:19,12.5,0.0
2026-04-07 00:22:34,12.5,0.0
2026-04-07 00:22:49,12.5,0.0
2026-04-07 00:23:04,12.5,0.0
2026-04-07 00:23:19,12.5,0.0
2026-04-07 00:23:34,12.5,0.0
2026-04-07 00:23:49,12.5,0.0
2026-04-07 00:24:04,12.5,0.0
2026-04-07 00:24:19,12.5,0.0
2026-04-07 00:24:34,12.5,0.0
2026-04-07 00:24:49,12.5,0.0
2026-04-07 00:25:04,12.5,0.0
2026-04-07 00:25:19,12.5,0.0
2026-04-07 00:25:34,12.5,0.0
2026-04-07 00:25:49,12.5,0.0
2026-04-07 00:26:04,12.5,0.0
2026-04-07 00:26:19,12.5,0.0
2026-04-07 00:26:34,12.5,0.0
2026-04-07 00:26:49,12.5,0.0
2026-04-07 00:27:04,12.5,0.0
2026-04-07 00:27:19,12.5,0.0
