time,tcc_auto,tcc_empi,int_time
2026-03-01 00:00:03,100.0,100.0,97.21017842881946
2026-03-01 00:00:18,100.0,100.0,97.21193862847224
2026-03-01 00:00:33,100.0,100.0,97.213698828125
2026-03-01 00:00:48,100.0,100.0,97.21545902777778
2026-03-01 00:01:03,100.0,100.0,97.21721922743056
2026-03-01 00:01:18,100.0,100.0,97.21897942708334
2026-03-01 00:01:33,100.0,100.0,97.22073962673612
2026-03-01 00:01:48,100.0,100.0,97.2224998263889
2026-03-01 00:02:03,100.0,100.0,97.22426002604168
2026-03-01 00:02:18,100.0,100.0,97.22602022569446
2026-03-01 00:02:33,100.0,100.0,97.22778042534723
2026-03-01 00:02:48,100.0,100.0,97.22954062500001
2026-03-01 00:03:03,100.0,100.0,97.23130082465279
2026-03-01 00:03:18,100.0,100.0,97.23306102430557
2026-03-01 00:03:33,100.0,100.0,97.23482122395835
2026-03-01 00:03:48,100.0,100.0,97.23658142361113
2026-03-01 00:04:03,100.0,100.0,97.23834162326389
2026-03-01 00:04:18,100.0,100.0,97.24010182291667
2026-03-01 00:04:33,100.0,100.0,97.24186202256945
2026-03-01 00:04:48,100.0,100.0,97.24362222222223
2026-03-01 00:05:03,100.0,100.0,97.24538242187501
2026-03-01 00:05:18,100.0,100.0,97.24714262152779
2026-03-01 00:05:33,100.0,100.0,97.24890282118056
2026-03-01 00:05:48,100.0,100.0,97.25066302083334
2026-03-01 00:06:03,100.0,100.0,97.25242322048612
2026-03-01 00:06:18,100.0,100.0,97.2541834201389
2026-03-01 00:06:33,100.0,100.0,97.25594361979168
2026-03-01 00:06:48,100.0,100.0,97.25770381944446
2026-03-01 00:07:03,100.0,100.0,97.25946401909724
2026-03-01 00:07:18,100.0,100.0,97.26122421875002
2026-03-01 00:07:33,100.0,100.0,97.2629844184028
2026-03-01 00:07:48,100.0,100.0,97.26474461805556
2026-03-01 00:08:03,100.0,100.0,97.26650481770834
2026-03-01 00:08:18,100.0,100.0,97.26826501736112
2026-03-01 00:08:33,100.0,100.0,97.2700252170139
2026-03-01 00:08:48,100.0,100.0,97.27178541666667
2026-03-01 00:09:03,100.0,100.0,97.27354561631945
2026-03-01 00:09:18,100.0,100.0,97.27530581597223
2026-03-01 00:09:33,100.0,100.0,97.27706601562501
2026-03-01 00:09:48,100.0,100.0,97.27882621527779
2026-03-01 00:10:03,100.0,100.0,97.28058641493057
2026-03-01 00:10:18,100.0,100.0,97.28234661458335
2026-03-01 00:10:33,100.0,100.0,97.28410681423613
2026-03-01 00:10:48,100.0,100.0,97.2858670138889
2026-03-01 00:11:03,100.0,100.0,97.28762721354168
2026-03-01 00:11:18,100.0,100.0,97.28938741319445
2026-03-01 00:11:33,100.0,100.0,97.29114761284723
2026-03-01 00:11:48,100.0,100.0,97.2929078125
2026-03-01 00:12:03,100.0,100.0,97.29466801215278
2026-03-01 00:12:18,100.0,100.0,97.29642821180556
2026-03-01 00:12:33,100.0,100.0,97.29818841145834
2026-03-01 00:12:48,100.0,100.0,97.29994861111112
2026-03-01 00:13:03,100.0,100.0,97.3017088107639
2026-03-01 00:13:18,100.0,100.0,97.30346901041668
2026-03-01 00:13:33,100.0,100.0,97.30522921006946
2026-03-01 00:13:48,100.0,100.0,97.30698940972223
2026-03-01 00:14:03,100.0,100.0,97.30874960937501
2026-03-01 00:14:18,100.0,100.0,97.31050980902779
2026-03-01 00:14:33,100.0,100.0,97.31227000868057
2026-03-01 00:14:48,100.0,100.0,97.31403020833335
2026-03-01 00:15:03,100.0,100.0,97.31579040798611
2026-03-01 00:15:18,100.0,100.0,97.31755060763889
2026-03-01 00:15:33,100.0,100.0,97.31931080729167
2026-03-01 00:15:48,100.0,100.0,97.32107100694445
2026-03-01 00:16:03,100.0,100.0,97.32283120659723
2026-03-01 00:16:18,100.0,100.0,97.32459140625001
2026-03-01 00:16:33,100.0,100.0,97.32635160590279
2026-03-01 00:16:48,100.0,100.0,97.32811180555557
2026-03-01 00:17:03,100.0,100.0,97.32987200520834
2026-03-01 00:17:18,100.0,100.0,97.33163220486112
2026-03-01 00:17:33,100.0,100.0,97.3333924045139
2026-03-01 00:17:48,100.0,100.0,97.33515260416668
2026-03-01 00:18:03,100.0,100.0,97.33691280381946
2026-03-01 00:18:18,100.0,100.0,97.33867300347224
2026-03-01 00:18:33,100.0,100.0,97.340433203125
2026-03-01 00:18:48,100.0,100.0,97.34219340277778
2026-03-01 00:19:03,100.0,100.0,97.34395360243056
2026-03-01 00:19:18,100.0,100.0,97.34571380208334
2026-03-01 00:19:33,100.0,100.0,97.34747400173612
2026-03-01 00:19:48,100.0,100.0,97.3492342013889
2026-03-01 00:20:03,100.0,100.0,97.35099440104167
2026-03-01 00:20:18,100.0,100.0,97.35275460069445
2026-03-01 00:20:33,100.0,100.0,97.35451480034723
2026-03-01 00:20:48,100.0,100.0,97.35627500000001
2026-03-01 00:21:03,100.0,100.0,97.35803519965279
2026-03-01 00:21:18,100.0,100.0,97.35979539930557
