time,tcc_auto,tcc_empi,int_time
2026-01-27 00:00:07,100.0,100.0,5.0
2026-01-27 00:00:22,100.0,100.0,5.0
2026-01-27 00:00:37,100.0,100.0,5.0
2026-01-27 00:00:52,100.0,100.0,5.0
2026-01-27 00:01:07,100.0,100.0,5.0
2026-01-27 00:01:22,100.0,100.0,5.0
2026-01-27 00:01:37,100.0,100.0,5.0
2026-01-27 00:01:52,100.0,100.0,5.0
2026-01-27 00:02:07,100.0,100.0,5.0
2026-01-27 00:02:22,100.0,100.0,5.0
2026-01-27 00:02:37,100.0,100.0,5.0
2026-01-27 00:02:52,100.0,100.0,5.0
2026-01-27 00:03:07,100.0,100.0,5.0
2026-01-27 00:03:22,100.0,100.0,5.0
2026-01-27 00:03:37,100.0,100.0,5.0
2026-01-27 00:03:52,100.0,100.0,5.0
2026-01-27 00:04:07,100.0,100.0,5.0
2026-01-27 00:04:22,100.0,100.0,5.0
2026-01-27 00:04:37,100.0,100.0,5.0
2026-01-27 00:04:52,100.0,100.0,5.0
2026-01-27 00:05:07,100.0,100.0,5.0
2026-01-27 00:05:22,100.0,100.0,5.0
2026-01-27 00:05:37,100.0,100.0,5.0
2026-01-27 00:05:52,100.0,100.0,5.0
2026-01-27 00:06:07,100.0,100.0,5.0
2026-01-27 00:06:22,100.0,100.0,5.0
2026-01-27 00:06:37,100.0,100.0,5.0
2026-01-27 00:06:52,100.0,100.0,5.0
2026-01-27 00:07:07,100.0,100.0,5.0
2026-01-27 00:07:22,100.0,100.0,5.0
2026-01-27 00:07:37,100.0,100.0,5.0
2026-01-27 00:07:52,100.0,100.0,5.0
2026-01-27 00:08:07,100.0,100.0,5.0
2026-01-27 00:08:22,100.0,100.0,5.0
2026-01-27 00:08:37,87.5,100.0,5.0
2026-01-27 00:08:52,87.5,100.0,5.0
2026-01-27 00:09:07,87.5,100.0,5.0
2026-01-27 00:09:22,87.5,100.0,5.0
2026-01-27 00:09:37,87.5,100.0,5.0
2026-01-27 00:09:52,87.5,100.0,5.0
2026-01-27 00:10:07,87.5,100.0,5.0
2026-01-27 00:10:22,100.0,100.0,5.0
2026-01-27 00:10:37,100.0,100.0,5.0
2026-01-27 00:10:52,100.0,100.0,5.0
2026-01-27 00:11:07,100.0,100.0,5.0
2026-01-27 00:11:22,100.0,100.0,5.0
2026-01-27 00:11:37,100.0,100.0,5.0
2026-01-27 00:11:52,100.0,100.0,5.0
2026-01-27 00:12:07,100.0,100.0,5.0
2026-01-27 00:12:22,100.0,100.0,5.0
2026-01-27 00:12:37,100.0,100.0,5.0
2026-01-27 00:12:52,100.0,100.0,5.0
2026-01-27 00:13:07,100.0,100.0,5.0
2026-01-27 00:13:22,100.0,100.0,5.0
2026-01-27 00:13:37,100.0,100.0,5.0
2026-01-27 00:13:52,100.0,100.0,5.0
2026-01-27 00:14:07,100.0,100.0,5.0
2026-01-27 00:14:22,100.0,100.0,5.0
2026-01-27 00:14:37,100.0,100.0,5.0
2026-01-27 00:14:52,100.0,100.0,5.0
2026-01-27 00:15:07,100.0,100.0,5.0
2026-01-27 00:15:22,100.0,100.0,5.0
2026-01-27 00:15:37,100.0,100.0,5.0
2026-01-27 00:15:52,100.0,100.0,5.0
2026-01-27 00:16:07,100.0,100.0,5.0
2026-01-27 00:16:22,100.0,100.0,5.0
2026-01-27 00:16:37,100.0,100.0,5.0
2026-01-27 00:16:52,100.0,100.0,5.0
2026-01-27 00:17:07,100.0,100.0,5.0
2026-01-27 00:17:22,100.0,100.0,5.0
2026-01-27 00:17:37,100.0,100.0,5.0
2026-01-27 00:17:52,100.0,100.0,5.0
2026-01-27 00:18:07,100.0,100.0,5.0
2026-01-27 00:18:22,100.0,100.0,5.0
2026-01-27 00:18:37,87.5,100.0,5.0
2026-01-27 00:18:52,100.0,100.0,5.0
2026-01-27 00:19:07,100.0,100.0,5.0
2026-01-27 00:19:22,100.0,100.0,5.0
2026-01-27 00:19:37,100.0,100.0,5.0
2026-01-27 00:19:52,87.5,100.0,5.0
2026-01-27 00:20:07,87.5,100.0,5.0
2026-01-27 00:20:22,87.5,100.0,5.0
2026-01-27 00:20:37,87.5,100.0,5.0
2026-01-27 00:20:52,87.5,100.0,5.0
2026-01-27 00:21:07,87.5,100.0,5.0
2026-01-27 00:21:22,87.5,100.0,5.0
2026-01-27 00:21:37,87.5,100.0,5.0
2026-01-27 00:21:52,87.5,100.0,5.0
2026-01-27 00:22:07,87.5,100.0,5.0
2026-01-27 00:22:22,87.5,100.0,5.0
2026-01-27 00:22:37,100.0,100.0,5.0
2026-01-27 00:22:52,100.0,100.0,5.0
2026-01-27 00:23:07,87.5,100.0,5.0
2026-01-27 00:23:22,87.5,100.0,5.0
2026-01-27 00:23:37,87.5,100.0,5.0
2026-01-27 00:23:52,87.5,100.0,5.0
2026-01-27 00:24:07,87.5,100.0,5.0
2026-01-27 00:24:22,87.5,100.0,5.0
2026-01-27 00:24:37,87.5,100.0,5.0
2026-01-27 00:24:52,87.5,100.0,5.0
2026-01-27 00:25:07,87.5,100.0,5.0
2026-01-27 00:25:22,87.5,100.0,5.0
2026-01-27 00:25:37,87.5,100.0,5.0
2026-01-27 00:25:52,87.5,100.0,5.0
2026-01-27 00:26:07,87.5,100.0,5.0
2026-01-27 00:26:22,87.5,100.0,5.0
2026-01-27 00:26:37,87.5,100.0,5.0
2026-01-27 00:26:52,87.5,100.0,5.0
2026-01-27 00:27:07,87.5,100.0,5.0
2026-01-27 00:27:22,87.5,100.0,5.0
2026-01-27 00:27:37,87.5,100.0,5.0
2026-01-27 00:27:52,100.0,100.0,5.0
2026-01-27 00:28:07,87.5,100.0,5.0
2026-01-27 00:28:22,100.0,100.0,5.0
2026-01-27 00:28:37,100.0,100.0,5.0
2026-01-27 00:28:52,87.5,100.0,5.0
2026-01-27 00:29:07,100.0,100.0,5.0
2026-01-27 00:29:22,100.0,100.0,5.0
2026-01-27 00:29:37,100.0,100.0,5.0
2026-01-27 00:29:52,100.0,100.0,5.0
2026-01-27 00:30:07,100.0,100.0,5.0
2026-01-27 00:30:22,100.0,100.0,5.0
2026-01-27 00:30:37,100.0,100.0,5.0
2026-01-27 00:30:52,100.0,100.0,5.0
2026-01-27 00:31:07,100.0,100.0,5.0
2026-01-27 00:31:22,100.0,100.0,5.0
2026-01-27 00:31:37,100.0,100.0,5.0
2026-01-27 00:31:52,100.0,100.0,5.0
2026-01-27 00:32:07,100.0,100.0,5.0
2026-01-27 00:32:22,100.0,100.0,5.0
2026-01-27 00:32:37,100.0,100.0,5.0
2026-01-27 00:32:52,100.0,100.0,5.0
2026-01-27 00:33:07,100.0,100.0,5.0
2026-01-27 00:33:22,100.0,100.0,5.0
2026-01-27 00:33:37,100.0,100.0,5.0
2026-01-27 00:33:52,100.0,100.0,5.0
2026-01-27 00:34:07,100.0,100.0,5.0
2026-01-27 00:34:22,100.0,100.0,5.0
2026-01-27 00:34:37,100.0,100.0,5.0
2026-01-27 00:34:52,100.0,100.0,5.0
2026-01-27 00:35:07,100.0,100.0,5.0
2026-01-27 00:35:22,100.0,100.0,5.0
2026-01-27 00:35:37,100.0,100.0,5.0
2026-01-27 00:35:52,100.0,100.0,5.0
2026-01-27 00:36:07,100.0,100.0,5.0
2026-01-27 00:36:22,100.0,100.0,5.0
2026-01-27 00:36:37,100.0,100.0,5.0
2026-01-27 00:36:52,100.0,100.0,5.0
2026-01-27 00:37:07,100.0,100.0,5.0
2026-01-27 00:37:22,100.0,100.0,5.0
2026-01-27 00:37:37,100.0,100.0,5.0
2026-01-27 00:37:52,100.0,100.0,5.0
2026-01-27 00:38:07,100.0,100.0,5.0
2026-01-27 00:38:22,100.0,100.0,5.0
2026-01-27 00:38:37,100.0,100.0,5.0
2026-01-27 00:38:52,100.0,100.0,5.0
2026-01-27 00:39:07,87.5,100.0,5.0
2026-01-27 00:39:22,100.0,100.0,5.0
2026-01-27 00:39:37,100.0,100.0,5.0
2026-01-27 00:39:52,100.0,100.0,5.0
2026-01-27 00:40:07,100.0,100.0,5.0
2026-01-27 00:40:22,100.0,100.0,5.0
